NroInt;Linea;CodAux;Fecha;CodBode;CodProd;CodiCC;CantDespachada;CantFacturada;CantIngresada;Tipo;TotLinea
10000002;1;10;02-02-2011 0:00;1;ACC01;;0;-1;0;N;-686260
3;1;79020000;22-01-2011 0:00;1;ACC01;;0;-1;0;N;-685148
10000001;2;DE002;02-02-2011 0:00;1;MPTP1;;0;-10;0;N;-86400
10000003;4;6;12-06-2021 0:00;1;PSM02;;0;-3;0;N;-84600
10000001;1;DE002;02-02-2011 0:00;1;MPTP3;;0;-8;0;N;-77120
10000003;1;6;12-06-2021 0:00;1;PSH01;;0;-1;0;N;-70200
10000003;3;6;12-06-2021 0:00;1;PSM01;;0;-2;0;N;-70200
10000002;2;10;02-02-2011 0:00;1;CHM01;;0;-2;0;N;-55760
4;2;10;04-02-2011 0:00;1;CHH02;;0;-2;0;N;-51900
10000003;2;6;12-06-2021 0:00;1;PSH02;;0;-1;0;N;-28200
2;1;8;21-01-2011 0:00;1;CAH02;;0;-2;0;N;-25060
6;1;2;20-03-2021 0:00;1;BUN01;;0;-2;0;N;-16800
6;2;2;20-03-2021 0:00;1;BUN02;;0;-1;0;N;-9500
7;1;7;22-03-2021 0:00;1;BUN03;;0;-1;0;N;-7500
1;1;12233966;21-01-2011 0:00;1;MPTA0;;0;-1;0;N;-2600
1;1;;01-01-2011 0:00;1;ACC01;;0;0;2;A;0
1;1;10;02-01-2011 0:00;1;ACC01;;2;0;0;R;0
1;2;;01-01-2011 0:00;1;ACC02;;0;0;3;A;0
1;2;10;02-01-2011 0:00;1;ACC02;;3;0;0;R;0
1;3;;01-01-2011 0:00;1;ACD01;;0;0;15;A;0
1;3;10;02-01-2011 0:00;1;ACD01;;10;0;0;R;0
1;4;;01-01-2011 0:00;1;ACD02;;0;0;5;A;0
1;4;10;02-01-2011 0:00;1;ACD02;;10;0;0;R;0
1;5;;01-01-2011 0:00;1;ACT01;;0;0;20;A;0
1;5;10;02-01-2011 0:00;1;ACT01;;15;0;0;R;0
1;6;;01-01-2011 0:00;1;ACU01;;0;0;1;A;0
1;7;;01-01-2011 0:00;1;CAH01;;0;0;39;A;0
1;8;;01-01-2011 0:00;1;CAH02;;0;0;15;A;0
1;9;;01-01-2011 0:00;1;CAM01;;0;0;32;A;0
1;10;;01-01-2011 0:00;1;CAM02;;0;0;25;A;0
1;11;;01-01-2011 0:00;1;CHH01;;0;0;28;A;0
1;12;;01-01-2011 0:00;1;CHH02;;0;0;12;A;0
1;13;;01-01-2011 0:00;1;CHM01;;0;0;10;A;0
1;14;;01-01-2011 0:00;1;CHM02;;0;0;10;A;0
1;15;;01-01-2011 0:00;1;MPBC0;;0;0;124;A;0
1;16;;01-01-2011 0:00;1;MPBC1;;0;0;100;A;0
1;17;;01-01-2011 0:00;1;MPBC2;;0;0;90;A;0
1;18;;01-01-2011 0:00;1;MPBC3;;0;0;100;A;0
1;19;;01-01-2011 0:00;1;MPBG0;;0;0;200;A;0
1;20;;01-01-2011 0:00;1;MPBM0;;0;0;120;A;0
1;21;;01-01-2011 0:00;1;MPBP0;;0;0;2000;A;0
1;22;;01-01-2011 0:00;1;MPBS0;;0;0;1000;A;0
1;23;;01-01-2011 0:00;1;MPCK0;;0;0;95;A;0
1;24;;01-01-2011 0:00;1;MPCP1;;0;0;400;A;0
1;25;;01-01-2011 0:00;1;MPCP2;;0;0;400;A;0
1;26;;01-01-2011 0:00;1;MPECP;;0;0;47;A;0
1;27;;01-01-2011 0:00;1;MPEFP;;0;0;92;A;0
1;28;;01-01-2011 0:00;1;MPHPD;;0;0;19;A;0
1;29;;01-01-2011 0:00;1;MPI01;;0;0;26;A;0
1;30;;01-01-2011 0:00;1;MPI02;;0;0;16;A;0
1;31;;01-01-2011 0:00;1;MPI03;;0;0;10;A;0
1;32;;01-01-2011 0:00;1;MPI04;;0;0;2;A;0
1;33;;01-01-2011 0:00;1;MPLA0;;0;0;6;A;0
1;34;;01-01-2011 0:00;1;MPLA1;;0;0;2;A;0
1;35;;01-01-2011 0:00;1;MPLA2;;0;0;1;A;0
1;36;;01-01-2011 0:00;1;MPLM0;;0;0;3;A;0
1;37;;01-01-2011 0:00;1;MPLM1;;0;0;1;A;0
1;38;;01-01-2011 0:00;1;MPLM2;;0;0;2;A;0
1;39;;01-01-2011 0:00;1;MPLM3;;0;0;1;A;0
1;40;;01-01-2011 0:00;1;MPOCH;;0;0;20;A;0
1;41;;01-01-2011 0:00;1;MPQM0;;0;0;18;A;0
1;42;;01-01-2011 0:00;1;MPRP1;;0;0;4;A;0
1;43;;01-01-2011 0:00;1;MPTA0;;0;0;19;A;0
1;44;;01-01-2011 0:00;1;MPTA1;;0;0;3;A;0
1;45;;01-01-2011 0:00;1;MPTA2;;0;0;1;A;0
1;46;;01-01-2011 0:00;1;MPTA3;;0;0;1;A;0
1;47;;01-01-2011 0:00;1;MPTBP;;0;0;4;A;0
1;48;;01-01-2011 0:00;1;MPTC0;;0;0;1;A;0
1;49;;01-01-2011 0:00;1;MPTC1;;0;0;1;A;0
1;50;;01-01-2011 0:00;1;MPTC2;;0;0;1;A;0
1;51;;01-01-2011 0:00;1;MPTC3;;0;0;1;A;0
1;52;;01-01-2011 0:00;1;MPTF0;;0;0;6;A;0
