CpbNum,CpbFec,PctCod,Suma de MovDebe,Suma de MovHaber,CcCod,CodAux
00000000,2020-01-01 00:00:00,1-1-1-01,$1364198,$1179197,00000000,S/A
00000000,2020-01-01 00:00:00,1-1-1-02,$949672,$750240,00000000,S/A
00000000,2020-01-01 00:00:00,1-1-1-05,$528202,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-1-1-06,$526255,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-1-1-08,$962824,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-2-1-01,$565750,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-2-1-02,$186979,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-2-1-03,$951042,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-2-2-01,$5965793,$4574692,00000000,S/A
00000000,2020-01-01 00:00:00,1-2-2-02,$906832,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-3-1-01,$1835506,$1835506,00000000,12233966
00000000,2020-01-01 00:00:00,1-3-1-01,$1430856,$1430856,00000000,2
00000000,2020-01-01 00:00:00,1-3-1-01,$984096,$984096,00000000,3
00000000,2020-01-01 00:00:00,1-3-1-01,$5740751,$5740751,00000000,4
00000000,2020-01-01 00:00:00,1-3-1-01,$99828,$99828,00000000,5
00000000,2020-01-01 00:00:00,1-3-1-01,$406639,$406639,00000000,6
00000000,2020-01-01 00:00:00,1-3-1-01,$1996625,$1996625,00000000,78200300
00000000,2020-01-01 00:00:00,1-3-1-01,$2197337,$2197337,00000000,79020000
00000000,2020-01-01 00:00:00,1-3-1-01,$2270022,$2270022,00000000,8
00000000,2020-01-01 00:00:00,1-3-1-01,$529897,$529897,00000000,89277000
00000000,2020-01-01 00:00:00,1-3-1-01,$974687,$974687,00000000,93441000
00000000,2020-01-01 00:00:00,1-3-1-01,$1266750,$1266750,00000000,96511570
00000000,2020-01-01 00:00:00,1-3-1-01,$16337,$16337,00000000,DE002
00000000,2020-01-01 00:00:00,1-3-1-02,$158203,$232636,00000000,00000010
00000000,2020-01-01 00:00:00,1-3-1-02,$107460,$107460,00000000,00000020
00000000,2020-01-01 00:00:00,1-3-1-05,$24593511,$24593511,00000000,S/A
00000000,2020-01-01 00:00:00,1-3-1-06,$423800,$423800,00000000,S/A
00000000,2020-01-01 00:00:00,1-4-1-03,$661096,$661096,00000000,4
00000000,2020-01-01 00:00:00,1-4-1-03,$832136,$832136,00000000,5
00000000,2020-01-01 00:00:00,1-5-1-03,$260000,$260000,00000000,S/A
00000000,2020-01-01 00:00:00,1-6-1-01,$5028635,$5028635,00000000,S/A
00000000,2020-01-01 00:00:00,1-6-1-02,$4114132,$0,00000000,S/A
00000000,2020-01-01 00:00:00,1-8-1-01,$901403,$901403,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-01,$58267835,$4818790,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-02,$16861863,$1853861,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-03,$45553802,$3631783,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-04,$26764855,$1230670,00000000,S/A
00000000,2020-01-01 00:00:00,1-9-1-05,$55867021,$787800,00000000,S/A
